area,sex,admin,langscore,matperf
0,0,1,354.222,0
0,1,1,350.921,0
0,0,1,401.507,1
0,1,1,359.33,1
0,0,1,400.185,0
0,0,1,316.416,0
0,0,1,493.736,0
0,0,1,391.12,1
0,1,1,432.307,0
0,0,1,378.395,0
0,1,1,458.704,0
0,0,1,324.191,0
0,1,1,364.114,1
0,0,1,437.692,0
0,0,1,431.494,1
0,0,1,406.307,0
0,0,1,344.946,0
0,1,1,397.853,0
0,0,1,311.263,0
0,1,1,359.33,0
0,0,1,400.185,0
0,0,1,334.637,0
0,0,1,323.084,0
0,0,1,347.415,1
0,0,1,432.307,1
0,0,1,555.931,0
0,1,1,458.704,0
0,0,1,324.191,0
1,0,0,201.981,0
0,1,0,269.926,0
0,1,0,252.771,0
0,1,0,366.522,0
0,1,0,264.882,0
0,1,0,354.222,0
0,1,0,318.081,0
